"Step","R-WA-PV_AT_A - train/l1_loss","R-WA-PV_AT_A - train/l1_loss__MIN","R-WA-PV_AT_A - train/l1_loss__MAX","R-WA - train/l1_loss","R-WA - train/l1_loss__MIN","R-WA - train/l1_loss__MAX","R-WA-P - train/l1_loss","R-WA-P - train/l1_loss__MIN","R-WA-P - train/l1_loss__MAX","R-W_RA - train/l1_loss","R-W_RA - train/l1_loss__MIN","R-W_RA - train/l1_loss__MAX","R-A - train/l1_loss","R-A - train/l1_loss__MIN","R-A - train/l1_loss__MAX","R-A-P - train/l1_loss","R-A-P - train/l1_loss__MIN","R-56-P - train/l1_loss__MAX","R-S_LWA - train/l1_loss","R-S_LWA - train/l1_loss__MIN","R-S_LWA - train/l1_loss__MAX","R-SW - train/l1_loss","R-SW - train/l1_loss__MIN","R-SW - train/l1_loss__MAX"
"1000","0.21216079592704773","0.21216079592704773","0.21216079592704773","0.2186519056558609","0.2186519056558609","0.2186519056558609","0.21616680920124054","0.21616680920124054","0.21616680920124054","0.2380937933921814","0.2380937933921814","0.2380937933921814","0.261018842458725","0.261018842458725","0.261018842458725","0.1843879222869873","0.1843879222869873","0.1843879222869873","0.2152758538722992","0.2152758538722992","0.2152758538722992","0.22104182839393616","0.22104182839393616","0.22104182839393616"
"2000","0.18450315296649933","0.18450315296649933","0.18450315296649933","0.1550699919462204","0.1550699919462204","0.1550699919462204","0.15084555745124817","0.15084555745124817","0.15084555745124817","0.1923636645078659","0.1923636645078659","0.1923636645078659","0.1611233800649643","0.1611233800649643","0.1611233800649643","0.1434037983417511","0.1434037983417511","0.1434037983417511","0.17044822871685028","0.17044822871685028","0.17044822871685028","0.1562597006559372","0.1562597006559372","0.1562597006559372"
"3000","0.1395636796951294","0.1395636796951294","0.1395636796951294","0.1366034597158432","0.1366034597158432","0.1366034597158432","0.15570127964019775","0.15570127964019775","0.15570127964019775","0.14050009846687317","0.14050009846687317","0.14050009846687317","0.14083914458751678","0.14083914458751678","0.14083914458751678","0.11801081895828247","0.11801081895828247","0.11801081895828247","0.14071184396743774","0.14071184396743774","0.14071184396743774","0.24104909598827362","0.24104909598827362","0.24104909598827362"
"4000","0.11005879938602448","0.11005879938602448","0.11005879938602448","0.11298809945583344","0.11298809945583344","0.11298809945583344","0.11537949740886688","0.11537949740886688","0.11537949740886688","0.1243119090795517","0.1243119090795517","0.1243119090795517","0.12415144592523575","0.12415144592523575","0.12415144592523575","0.1073596328496933","0.1073596328496933","0.1073596328496933","0.1256672888994217","0.1256672888994217","0.1256672888994217","0.12287489324808121","0.12287489324808121","0.12287489324808121"
"5000","0.1177918016910553","0.1177918016910553","0.1177918016910553","0.1094634011387825","0.1094634011387825","0.1094634011387825","0.10318048298358917","0.10318048298358917","0.10318048298358917","0.11749251931905746","0.11749251931905746","0.11749251931905746","0.11381015926599503","0.11381015926599503","0.11381015926599503","0.11312306672334671","0.11312306672334671","0.11312306672334671","0.11482905596494675","0.11482905596494675","0.11482905596494675","0.11789895594120026","0.11789895594120026","0.11789895594120026"
"6000","0.10442129522562027","0.10442129522562027","0.10442129522562027","0.10554486513137817","0.10554486513137817","0.10554486513137817","0.10496478527784348","0.10496478527784348","0.10496478527784348","0.11093654483556747","0.11093654483556747","0.11093654483556747","0.09557420015335083","0.09557420015335083","0.09557420015335083","0.10273990780115128","0.10273990780115128","0.10273990780115128","0.1123395711183548","0.1123395711183548","0.1123395711183548","0.10224292427301407","0.10224292427301407","0.10224292427301407"
"7000","0.09379884600639343","0.09379884600639343","0.09379884600639343","0.09648912400007248","0.09648912400007248","0.09648912400007248","0.10499884188175201","0.10499884188175201","0.10499884188175201","0.08960197120904922","0.08960197120904922","0.08960197120904922","0.09198883920907974","0.09198883920907974","0.09198883920907974","0.08918928354978561","0.08918928354978561","0.08918928354978561","0.10284263640642166","0.10284263640642166","0.10284263640642166","0.10092787444591522","0.10092787444591522","0.10092787444591522"
"8000","0.07702787220478058","0.07702787220478058","0.07702787220478058","0.09037146717309952","0.09037146717309952","0.09037146717309952","0.09018729627132416","0.09018729627132416","0.09018729627132416","0.08790010958909988","0.08790010958909988","0.08790010958909988","0.07904110848903656","0.07904110848903656","0.07904110848903656","0.09378916770219803","0.09378916770219803","0.09378916770219803","0.08592427521944046","0.08592427521944046","0.08592427521944046","0.08520179241895676","0.08520179241895676","0.08520179241895676"
"9000","0.0788419172167778","0.0788419172167778","0.0788419172167778","0.08921527117490768","0.08921527117490768","0.08921527117490768","0.0894811749458313","0.0894811749458313","0.0894811749458313","0.08329635113477707","0.08329635113477707","0.08329635113477707","0.08451087027788162","0.08451087027788162","0.08451087027788162","0.22024746239185333","0.22024746239185333","0.22024746239185333","0.09436342865228653","0.09436342865228653","0.09436342865228653","0.08224538713693619","0.08224538713693619","0.08224538713693619"
"10000","0.08418411016464233","0.08418411016464233","0.08418411016464233","0.07351601123809814","0.07351601123809814","0.07351601123809814","0.07285379618406296","0.07285379618406296","0.07285379618406296","0.08455585688352585","0.08455585688352585","0.08455585688352585","0.08873870223760605","0.08873870223760605","0.08873870223760605","0.0741736888885498","0.0741736888885498","0.0741736888885498","0.08403754234313965","0.08403754234313965","0.08403754234313965","0.082278311252594","0.082278311252594","0.082278311252594"
