Config ID;;1;;;;;;;2;;;;;;;;3;;;;;;;;4;;;;;;;;5;;;;;;;;6;;;;;;;;7;;;;;;;;8;;;;;;;;9;;;;;;;;10;;;;;;;;11;;;;;;;
cans_resnet_opentv;green;red;red;red;green;green;end;time;green;red;red;red;green;green;end;time;red;red;green;green;red;green;end;time;red;red;green;green;red;green;end;time;green;red;green;red;red;green;end;time;red;red;green;red;green;green;end;time;red;red;red;green;green;green;end;time;green;green;red;red;red;green;end;time;green;red;red;green;green;red;end;time;red;green;green;red;red;green;end;time;red;red;green;geen;red;green;end;time
Hand Move to  Can;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;;;1;1;1;1;None;None;1;1;1;1;1;1;None;None;0.5;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None
Hand Grasp Can;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;;;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None
Hand Move to  corrct Box;0.5;1;1;1;0.5;1;None;None;0.5;1;1;1;0.5;;None;None;;;0.5;0.5;1;1;None;None;1;1;0;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0.5;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;0;1;1;0.5;1;1;None;None;0.5;1;1;1;1;1;None;None;1;1;0;0;1;0.5;None;None
Can in corredt Box;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;;;0.5;0;1;1;None;None;1;1;0.5;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0.5;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;0;1;1;0;1;1;None;None;0;1;1;1;1;1;None;None;1;1;0;0;1;1;None;None
Start position am ende;None;None;None ;None;None;None;0;05:40;None;None;None ;None;None;None;0;03:15;None;None;None ;None;None;None;0;06:10;None;None;None ;None;None;None;0;06:30;None;None;None ;None;None;None;0;08:50;None;None;None ;None;None;None;0;05:35;None;None;None ;None;None;None;0;05:05;None;None;None ;None;None;None;0;05:20;None;None;None ;None;None;None;;05:40;None;None;None ;None;None;None;0;05:43;None;None;None ;None;None;None;0;05:43
Config ID;;1;;;;;;;2;;;;;;;;3;;;;;;;;4;;;;;;;;5;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cans_resnet_pressure;red;red;green;red;green;green;end;time;green;red;green;red;red;green;end;time;green;green;red;red;green;red;end;time;green;red;red;green;red;green;end;time;green;red;green;green;red;red;end;time;green;red;green;red;red;green;end;time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  Can;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;1;None;None;None;None;None;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Grasp Can;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;0.5;None;None;None;None;None;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  corrct Box;1;1;0.5;1;0.5;0.5;None;None;1;1;1;1;1;0.5;None;None;1;1;1;1;1;;None;None;None;None;None;None;None;None;None;None;1;1;1;1;1;1;None;None;0.5;1;1;0.5;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Can in corredt Box;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;;None;None;None;None;None;None;None;None;None;None;1;1;1;1;1;1;None;None;0.5;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start position am ende;None;None;None ;None;None;None;1;None;None;None;None ;None;None;None;1;None;None;None;None ;None;None;None;1;None;None;None;None;None;None;None;None;None;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;1;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Config ID;;1;;;;;;;2;;;;;;;;3;;;;;;;;4;;;;;;;;5;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cans_resnet_head;green;red;red;green;red;green;end;time;green;red;green;red;red;green;end;time;red ;green;green;red;red;green;end;time;green;green;red;green;red;red;end;time;red;red;red;green;green;green;end;time;red;red;green;green;red;green;end;time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  Can;0;0;0;0;0;0;None;None;0;0;None ;None;None;None;None;None;0;1;1;1;1;1;None;None;1;0;0.5;0;0;0;None;None;1;1;1;1;0;1;None;None;1;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Grasp Can;1;1;1;1;1;1;None;None;1;1;None ;None;None;None;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0.5;0.5;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  corrct Box;1;1;1;1;1;1;None;None;1;1;None ;None;None;None;None;None;1;0;0;1;1;0.5;None;None;0.5;0.5;1;0.5;1;0.5;None;None;1;1;1;0.5;1;1;None;None;0.5;1;0.5;0.5;0;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Can in corredt Box;1;1;1;1;1;1;None;None;1;0;None ;None;None;None;None;None;1;0;0;1;1;1;None;None;1;0.5;1;1;1;0.5;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start position am ende;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;0;None;None;None;None ;None;None;None;0;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Config ID;;1;;;;;;;2;;;;;;;;3;;;;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cans_resnet_no_wrist;green;red;red;green;red;green;end;time;red;green;green;red;red;green;end;time;red ;red;green;green;red;green;end;time;green;red;green;red;green;red;end;time;green;red;green;green;red;red;end;time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  Can;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Grasp Can;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;1;1;None;None;0.75;1;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hand Move to  corrct Box;1;1;0.5;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0;1;None;None;1;1;1;1;1;1;None;None;0.5;0.5;1;1;0.5;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Can in corredt Box;1;1;0.5;1;1;1;None;None;1;1;1;1;1;1;None;None;1;1;1;1;0;1;None;None;1;1;1;1;1;1;None;None;0.25;0;1;1;1;1;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start position am ende;None;None;None ;None;None;None;0;04:03;None;None;None ;None;None;None;0;04:02;None;None;None ;None;None;None;0;03:58;None;None;None ;None;None;None;0;03:47;None;None;None ;None;None;None;0;04:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Config ID;;1;;;;;;;2;;;;;;;;3;;;;;;;;4;;;;;;;;5;;;;;;;;6;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cans_resnet_arm_torq;red;red;green;green;green;red;end;time;red;green;red;green;green;red;end;time;green;green;red;red;red;green;end;time;red;red;red;green;green;green;end;time;green;green;red;green;red;red;end;time;green;red;red;green;red;red;end;time;red;red;red;green;green;green;end;time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
