"Step","cubes_R-S - train/l1_loss","cubes_R-S - train/l1_loss__MIN","cubes_R-S - train/l1_loss__MAX","cubes_R-3456 - train/l1_loss","cubes_R-3456 - train/l1_loss__MIN","cubes_R-3456 - train/l1_loss__MAX","cubes_R-56 - train/l1_loss","cubes_R-56 - train/l1_loss__MIN","cubes_R-56 - train/l1_loss__MAX","cubes_R-3456-P - train/l1_loss","cubes_R-3456-P - train/l1_loss__MIN","cubes_R-3456-P - train/l1_loss__MAX","cubes_R-3456-PT - train/l1_loss","cubes_R-3456-PT - train/l1_loss__MIN","cubes_R-3456-PT - train/l1_loss__MAX","resnet_arm_torques_big_dataset - train/l1_loss","resnet_arm_torques_big_dataset - train/l1_loss__MIN","resnet_arm_torques_big_dataset - train/l1_loss__MAX","resnet_arm_torques - train/l1_loss","resnet_arm_torques - train/l1_loss__MIN","resnet_arm_torques - train/l1_loss__MAX","resnet_torque - train/l1_loss","resnet_torque - train/l1_loss__MIN","resnet_torque - train/l1_loss__MAX"
"1000","0.2595589756965637","0.2595589756965637","0.2595589756965637","0.23580923676490784","0.23580923676490784","0.23580923676490784","0.2211618572473526","0.2211618572473526","0.2211618572473526","0.24386689066886902","0.24386689066886902","0.24386689066886902","0.28700798749923706","0.28700798749923706","0.28700798749923706","0.6692770719528198","0.6692770719528198","0.6692770719528198","0.33173713088035583","0.33173713088035583","0.33173713088035583","0.2740142047405243","0.2740142047405243","0.2740142047405243"
"2000","0.20318208634853363","0.20318208634853363","0.20318208634853363","0.17056268453598022","0.17056268453598022","0.17056268453598022","0.21939784288406372","0.21939784288406372","0.21939784288406372","0.18882127106189728","0.18882127106189728","0.18882127106189728","0.2237611562013626","0.2237611562013626","0.2237611562013626","0.3969162702560425","0.3969162702560425","0.3969162702560425","0.3172619938850403","0.3172619938850403","0.3172619938850403","0.19606855511665344","0.19606855511665344","0.19606855511665344"
"3000","0.1901746392250061","0.1901746392250061","0.1901746392250061","0.1980019211769104","0.1980019211769104","0.1980019211769104","0.1574079543352127","0.1574079543352127","0.1574079543352127","0.15444965660572052","0.15444965660572052","0.15444965660572052","0.20765440165996552","0.20765440165996552","0.20765440165996552","0.2916049063205719","0.2916049063205719","0.2916049063205719","0.20504382252693176","0.20504382252693176","0.20504382252693176","0.16760987043380737","0.16760987043380737","0.16760987043380737"
"4000","0.1289306879043579","0.1289306879043579","0.1289306879043579","0.20980478823184967","0.20980478823184967","0.20980478823184967","0.15937338769435883","0.15937338769435883","0.15937338769435883","0.17641781270503998","0.17641781270503998","0.17641781270503998","0.21613666415214539","0.21613666415214539","0.21613666415214539","0.36893001198768616","0.36893001198768616","0.36893001198768616","0.29885590076446533","0.29885590076446533","0.29885590076446533","0.1971253603696823","0.1971253603696823","0.1971253603696823"
"5000","0.1271771937608719","0.1271771937608719","0.1271771937608719","0.16495969891548157","0.16495969891548157","0.16495969891548157","0.14616042375564575","0.14616042375564575","0.14616042375564575","0.1656259298324585","0.1656259298324585","0.1656259298324585","0.15966416895389557","0.15966416895389557","0.15966416895389557","0.27347081899642944","0.27347081899642944","0.27347081899642944","0.21689128875732422","0.21689128875732422","0.21689128875732422","0.18474945425987244","0.18474945425987244","0.18474945425987244"
"6000","0.12752661108970642","0.12752661108970642","0.12752661108970642","0.14499996602535248","0.14499996602535248","0.14499996602535248","0.15067799389362335","0.15067799389362335","0.15067799389362335","0.16296865046024323","0.16296865046024323","0.16296865046024323","0.18706780672073364","0.18706780672073364","0.18706780672073364","0.36952367424964905","0.36952367424964905","0.36952367424964905","0.30073750019073486","0.30073750019073486","0.30073750019073486","0.16652415692806244","0.16652415692806244","0.16652415692806244"
"7000","0.12155794352293015","0.12155794352293015","0.12155794352293015","0.13609308004379272","0.13609308004379272","0.13609308004379272","0.13929830491542816","0.13929830491542816","0.13929830491542816","0.14862072467803955","0.14862072467803955","0.14862072467803955","0.14455202221870422","0.14455202221870422","0.14455202221870422","0.24905997514724731","0.24905997514724731","0.24905997514724731","0.2639293968677521","0.2639293968677521","0.2639293968677521","0.17338933050632477","0.17338933050632477","0.17338933050632477"
"8000","0.1126202940940857","0.1126202940940857","0.1126202940940857","0.12645256519317627","0.12645256519317627","0.12645256519317627","0.10993324220180511","0.10993324220180511","0.10993324220180511","0.14258261024951935","0.14258261024951935","0.14258261024951935","0.17391251027584076","0.17391251027584076","0.17391251027584076","0.25891926884651184","0.25891926884651184","0.25891926884651184","0.29757943749427795","0.29757943749427795","0.29757943749427795","0.13232843577861786","0.13232843577861786","0.13232843577861786"
"9000","0.13022880256175995","0.13022880256175995","0.13022880256175995","0.1458021104335785","0.1458021104335785","0.1458021104335785","0.11284686625003815","0.11284686625003815","0.11284686625003815","0.14184217154979706","0.14184217154979706","0.14184217154979706","0.16599927842617035","0.16599927842617035","0.16599927842617035","0.3095991611480713","0.3095991611480713","0.3095991611480713","0.2132830023765564","0.2132830023765564","0.2132830023765564","0.1423938274383545","0.1423938274383545","0.1423938274383545"
"10000","0.11698407679796219","0.11698407679796219","0.11698407679796219","0.10393651574850082","0.10393651574850082","0.10393651574850082","0.1009727269411087","0.1009727269411087","0.1009727269411087","0.12556783854961395","0.12556783854961395","0.12556783854961395","0.15981726348400116","0.15981726348400116","0.15981726348400116","0.4131757318973541","0.4131757318973541","0.4131757318973541","0.27338525652885437","0.27338525652885437","0.27338525652885437","0.14711935818195343","0.14711935818195343","0.14711935818195343"
